GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
herald,com.github.vbauer.herald.logger.impl,Syslog4jGraylogLogFactory,0,10,0,0,0,3,0,2,0,2
herald,com.github.vbauer.herald.logger.impl,Syslog4jLogFactory,0,10,0,0,0,3,0,2,0,2
herald,com.github.vbauer.herald.logger.impl,CommonsLogFactory,0,6,0,0,0,2,0,1,0,1
herald,com.github.vbauer.herald.logger.impl,Slf4jLogFactory,0,6,0,0,0,2,0,1,0,1
herald,com.github.vbauer.herald.logger.impl,SimpleLogFactory,0,32,0,0,0,9,0,5,0,5
herald,com.github.vbauer.herald.logger.impl,PlayLogFactory,0,6,0,0,0,2,0,1,0,1
herald,com.github.vbauer.herald.logger.impl,Slf4jExtLogFactory,0,6,0,0,0,2,0,1,0,1
herald,com.github.vbauer.herald.logger.impl,Log4jLogFactory,0,6,0,0,0,2,0,1,0,1
herald,com.github.vbauer.herald.logger.impl,FluentLogFactory,0,11,0,0,0,3,0,2,0,2
herald,com.github.vbauer.herald.logger.impl,Log4j2LogFactory,0,6,0,0,0,2,0,1,0,1
herald,com.github.vbauer.herald.logger.impl,JBossLogFactory,0,6,0,0,0,2,0,1,0,1
herald,com.github.vbauer.herald.logger.impl,JavaUtilLogFactory,0,11,0,0,0,3,0,2,0,2
herald,com.github.vbauer.herald.util,ServiceLoaderUtils,0,27,0,2,0,8,0,3,0,2
herald,com.github.vbauer.herald.util,ReflectionUtils,3,80,0,6,1,22,0,9,0,6
herald,com.github.vbauer.herald.exception,HeraldException,0,5,0,0,0,2,0,2,0,2
herald,com.github.vbauer.herald.exception,MissedLogFactoryException,0,19,0,0,0,5,0,3,0,3
herald,com.github.vbauer.herald.exception,LoggerInstantiationException,0,19,0,0,0,5,0,3,0,3
herald,com.github.vbauer.herald.injector,LogFactoryDetector,0,35,0,8,0,9,0,7,0,3
herald,com.github.vbauer.herald.injector,LoggerInjector,3,165,1,23,1,42,1,19,0,8
herald,com.github.vbauer.herald.ext.spring,LogAutoConfiguration,0,7,0,0,0,2,0,2,0,2
herald,com.github.vbauer.herald.ext.spring,LogBeanPostProcessor,0,8,0,0,0,3,0,3,0,3
herald,com.github.vbauer.herald.ext.guice,LogModule.new TypeListener() {...},0,10,0,0,0,3,0,2,0,2
herald,com.github.vbauer.herald.ext.guice,LogModule,0,22,0,0,0,8,0,4,0,4
